Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1038,129473.16,1095943,3,4,10,3,"Payday Loan, Payday Loan, and Home Equity Loan",28,13,8.61,100,Standard,568.21,"3,40893E+16",20 Years and 0 Months,Yes,"2,55328E+16",1088.2714495635144,Low_spent_Medium_value_payments,"3,23436E+15",2024-10-01
CUS_0x104f,11336.835,99273625,4,6,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan",30,19,16.44,70,_,177.98,"3,77175E+15",14 Years and 10 Months,NM,"3,55627E+15",133.79735014337106,Low_spent_Small_value_payments,"2,19914E+16",2024-10-01
CUS_0x10a9,17603.265,"1,32495E+16",8,6,4,0,,9,12,10.27,40,_,836.66,"4,17926E+16",15 Years and 9 Months,No,"1,02993E+15",20.63448928511361,High_spent_Large_value_payments,"3,62159E+15",2024-10-01
CUS_0x111b,70277.22,5633435,3,6,7,3,"Not Specified, Not Specified, and Home Equity Loan",5,9,4.050000000000002,70,Good,762.48,"3,65329E+15",20 Years and 6 Months,No,"1,49934E+16",496.79119085081146,Low_spent_Large_value_payments,"1,86618E+16",2024-10-01
CUS_0x1123,15264.98,"1,26608E+16",6,5,34,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan",23,14,9.68,140,Bad,2375.88,"2,40943E+16",8 Years and 10 Months,Yes,505630,136.95202265544256,Low_spent_Small_value_payments,"2,42866E+15",2024-10-01
CUS_0x1151,17692.27,"1,33536E+16",6,5,29,6,"Payday Loan, Auto Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan",35,25,28.12,90,Bad,3762.64,"2,4555E+15",11 Years and 5 Months,Yes,"7,84472E+15",167.4413850143566,Low_spent_Small_value_payments,"1,77647E+15",2024-10-01
CUS_0x1193,31877.72,"2,57148E+15",2,5,20,1,Credit-Builder Loan,29,13,4.46,40,Standard,886.59,"2,87295E+15",25 Years and 3 Months,NM,"2,17944E+16",82.33899418272938,High_spent_Medium_value_payments,"4,03014E+15",2024-10-01
CUS_0x1277,13762.45,"9,10871E+15",7,6,13,5,"Personal Loan, Debt Consolidation Loan, Not Specified, Personal Loan, and Credit-Builder Loan",14,8,8.39,60,Standard,720.94,"2,83549E+15",11 Years and 5 Months,NM,36530,__10000__,Low_spent_Small_value_payments,"2,85251E+15",2024-10-01
CUS_0x1278,12416.06,"1,17167E+16",7,5,20,0,,20,15,7.1,70,Standard,899.73,"3,65151E+14",8 Years and 2 Months,Yes,0,__10000__,Low_spent_Large_value_payments,"3,40313E+16",2024-10-01
CUS_0x132f,19514.88,182824,7,5,5240,0,,26,11,4.17,40,_,881.4,"2,87819E+16",19 Years and 10 Months,No,0,99.1415414879628,High_spent_Small_value_payments,"3,43682E+15",2024-10-01
