Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1011,58918.47,5208.8726,3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,13,14.42,7.0,Standard,473.14,27.82996,15 Years and 10 Months,Yes,123.43494,383.35083,Low_spent_Medium_value_payments,294.10147,2023-11-01
CUS_0x1013,98620.98,7962.415,3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,9,1.33,3.0,Good,1233.51,26.524864,17 Years and 10 Months,No,228.01808,332.3337,High_spent_Medium_value_payments,485.8897,2023-12-01
CUS_0x1018,61194.81,5014.5674,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",19,22,28.63,8.0,Bad,2773.09,27.268457,14 Years and 3 Months,Yes,225.3687,166.53062,High_spent_Medium_value_payments,359.55743,2023-11-01
CUS_0x1026,170614.28,14463.856,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,3.0,Good,849.69,31.75752,20 Years and 8 Months,No,208.90749,184.27788,High_spent_Medium_value_payments,1303.2003,2023-10-01
CUS_0x1037,15989.08,1086.4237,5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",13,15,0.5,3.0,Good,665.82,40.6977,19 Years and 9 Months,No,33.79702,80.46524,Low_spent_Small_value_payments,284.38013,2023-01-01
CUS_0x103e,98690.8,8262.233,4,6,9,1,Student Loan,6,17,10.76,4.0,Good,706.96,26.860664,26 Years and 11 Months,No,55.004406,913.4813,Low_spent_Small_value_payments,147.73761,2024-12-01
CUS_0x1041,8978.11,894.17584,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,17,18.48,10.0,Bad,4913.15,37.746567,10 Years and 5 Months,Yes,57.679657,43.565857,High_spent_Small_value_payments,248.17207,2023-11-01
CUS_0x1048,42387.54,3680.295,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,7.0,Standard,1835.67,28.75306,10 Years and 0 Months,Yes,225.88336,133.51337,High_spent_Small_value_payments,268.63278,2024-02-01
CUS_0x104a,14981.39,1461.4492,2,7,5,4,"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",5,6,0.63,4.0,Good,1122.46,39.641644,32 Years and 3 Months,No,38.115967,164.88918,Low_spent_Small_value_payments,233.13977,2023-12-01
CUS_0x104e,19180.87,1688.4059,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6.0,Standard,1127.57,29.465338,25 Years and 2 Months,No,57.364212,107.98323,High_spent_Small_value_payments,263.49313,2023-06-01
CUS_0x1056,16053.86,1196.8217,8,6,24,5,"Student Loan, Student Loan, Not Specified, Personal Loan, and Debt Consolidation Loan",27,18,0.83,12.0,Bad,2107.76,36.854668,16 Years and 2 Months,Yes,44.86029,154.06862,Low_spent_Small_value_payments,210.75325,2023-04-01
CUS_0x107c,49718.55,4179.2124,7,10,27,6,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",27,17,10.5,7.0,Bad,1920.25,30.109638,14 Years and 0 Months,Yes,231.95679,430.88394,Low_spent_Small_value_payments,45.080532,2023-11-01
CUS_0x1087,42153.13,3377.7607,5,4,10,3,"Payday Loan, Not Specified, and Payday Loan",10,9,4.81,7.0,Good,1027.64,26.344477,28 Years and 5 Months,No,79.299614,80.6249,High_spent_Small_value_payments,437.85156,2024-09-01
CUS_0x1096,12931.56,1348.63,4,4,9,3,"Not Specified, Debt Consolidation Loan, and Home Equity Loan",18,20,18.51,3.0,Standard,752.86,27.70975,21 Years and 4 Months,Yes,20.579155,105.56661,Low_spent_Small_value_payments,298.71722,2024-03-01
CUS_0x1098,20652.98,1468.0817,7,5,21,2,"Auto Loan, and Payday Loan",24,10,8.58,8.0,Standard,1859.53,37.4411,18 Years and 11 Months,NM,33.238358,54.603386,Low_spent_Small_value_payments,348.96643,2025-01-01
CUS_0x109b,31641.93,2610.8274,4,6,7,3,"Personal Loan, Student Loan, and Personal Loan",25,12,3.37,1.0,Standard,583.6,40.34939,20 Years and 5 Months,No,60.3363,84.09048,Low_spent_Small_value_payments,344.65894,2023-10-01
CUS_0x109d,49140.87,4377.0723,10,6,27,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",35,18,16.66,11.0,Bad,2950.8,31.163786,6 Years and 6 Months,NM,154.17242,301.59378,Low_spent_Small_value_payments,271.94104,2024-04-01
CUS_0x10b6,5691341.0,1712.9691,7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1.0,Standard,277.93,40.27854,18 Years and 4 Months,No,37.99638,65.37216,High_spent_Small_value_payments,327.92838,2025-01-01
CUS_0x10c0,49454.13,4328.1777,8,5,23,2,"Payday Loan, and Auto Loan",59,23,4.95,8.0,Bad,1388.56,28.978426,13 Years and 4 Months,NM,73.34636,148.54066,Low_spent_Medium_value_payments,459.07806,2024-02-01
CUS_0x10c5,158623.16,13180.597,2,7,10,1,Payday Loan,10,5,6.04,0.0,Good,1134.83,41.7968,30 Years and 2 Months,No,91.033905,282.7187,High_spent_Medium_value_payments,1194.3071,2024-08-01
CUS_0x10d7,15968.14,1380.6783,7,7,21,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Personal Loan",37,21,17.26,14.0,Bad,4912.8,39.894417,12 Years and 4 Months,Yes,77.997116,128.59868,Low_spent_Medium_value_payments,211.47205,2023-12-01
CUS_0x10df,9929.24,828.4363,4,8,23,3,"Not Specified, Auto Loan, and Student Loan",16,18,11.5,14.0,Standard,2328.08,36.509266,7 Years and 2 Months,Yes,18.120966,74.96443,Low_spent_Small_value_payments,260.91592,2024-11-01
CUS_0x10e2,43133.85,3432.4875,10,10,31,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",43,24,6.41,11.0,Bad,2504.1,27.11586,10 Years and 9 Months,Yes,151.28726,67.89251,High_spent_Large_value_payments,364.069,2025-01-01
CUS_0x10eb,28315.95,2415.6626,4,7,10,2,"Student Loan, and Payday Loan",8,8,10.34,4.0,Good,677.4,26.912323,20 Years and 5 Months,No,30.230997,133.04883,Low_spent_Small_value_payments,368.2864,2023-03-01
