Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2.70616e+16,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,110,Bad,1562.91,3007720000000000.0,10 Years and 9 Months,Yes,4.29411e+16,77.31428,High_spent_Medium_value_payments,4.00361e+16,2023-05-01
CUS_0x1011,58918.47,52088724.0,3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,13,14.42,70,Standard,473.14,2783000000000000.0,15 Years and 10 Months,Yes,1.23435e+16,383.35083,Low_spent_Medium_value_payments,2941010000000000.0,2023-11-01
CUS_0x1013,98620.98,7962420000000000.0,3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,9,1.33,30,Good,1233.51,2652490000000000.0,17 Years and 10 Months,No,228018000000000.0,332.3337,High_spent_Medium_value_payments,4858900000000000.0,2023-12-01
CUS_0x1018,61194.81,50145676.0,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",19,22,28.63,80,Bad,2773.09,2.72685e+16,14 Years and 3 Months,Yes,2253690000000000.0,166.53062,High_spent_Medium_value_payments,3.59557e+16,2023-11-01
CUS_0x1026,170614.28,1.44639e+16,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,30,Good,849.69,3175750000000000.0,20 Years and 8 Months,No,2.08907e+16,184.27788,High_spent_Medium_value_payments,1.3032e+16,2023-10-01
CUS_0x1037,15989.08,108642376.0,5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",13,15,0.5,30,Good,665.82,4069770000000000.0,19 Years and 9 Months,No,3.3797e+16,80.46524,Low_spent_Small_value_payments,2843800000000000.0,2023-01-01
CUS_0x1038,129473.16,1095943.0,3,4,10,3,"Payday Loan, Payday Loan, and Home Equity Loan",28,13,8.61,100,Standard,568.21,3.40893e+16,20 Years and 0 Months,Yes,2.55328e+16,1088.2715,Low_spent_Medium_value_payments,3234360000000000.0,2024-10-01
CUS_0x103e,98690.8,8262230000000000.0,4,6,9,1,Student Loan,6,17,10.76,40,Good,706.96,2.68607e+16,26 Years and 11 Months,No,5.50044e+16,913.4813,Low_spent_Small_value_payments,1477380000000000.0,2024-12-01
CUS_0x1041,8978.11,8941760000000000.0,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,17,18.48,100,Bad,4913.15,3774660000000000.0,10 Years and 5 Months,Yes,5767970000000000.0,43.565857,High_spent_Small_value_payments,2481720000000000.0,2023-11-01
CUS_0x1048,42387.54,3680295.0,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,70,Standard,1835.67,2875310000000000.0,10 Years and 0 Months,Yes,225883000000000.0,133.51337,High_spent_Small_value_payments,2686330000000000.0,2024-02-01
