Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2.70616E+16,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,110,Bad,1562.91,"3,00772E+15",10 Years and 9 Months,Yes,"4,29411E+16",77.31427572208112,High_spent_Medium_value_payments,"4,00361E+16",01/05/2023
CUS_0x1009,52312.68,425039,6,5,17,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",5,18,9.73,40,_,202.68,"4,0287E+13",31 Years and 0 Months,Yes,"1,08366E+16",58.66019164829086,High_spent_Medium_value_payments,"5,08012E+16",01/01/2025
CUS_0x100b,113781.38999999998,95497825,1,4,1,0,,14,8,8.34,40,Good,1030.2,"2,85929E+15",15 Years and 10 Months,No,0,617.0792665202719,High_spent_Small_value_payments,"5,97899E+15",01/03/2024
CUS_0x1011,58918.47,52088725,3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,13,14.42,70,Standard,473.14,"2,783E+15",15 Years and 10 Months,Yes,"1,23435E+16",383.35084463651407,Low_spent_Medium_value_payments,"2,94101E+15",01/11/2023
CUS_0x1013,98620.98,7.96242E+15,3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,9,1.33,30,Good,1233.51,"2,65249E+15",17 Years and 10 Months,No,"2,28018E+14",332.3337079767732,High_spent_Medium_value_payments,"4,8589E+15",01/12/2023
CUS_0x1015,46951.02,3725585,7,4,16,0,,8,9,15.83,90,Standard,340.22,"3,86822E+15",21 Years and 5 Months,NM,0,437.4339945818671,Low_spent_Small_value_payments,"2,25125E+16",01/08/2023
CUS_0x1018,61194.81,50145675,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",19,22,28.63,80,Bad,2773.09,"2,72685E+16",14 Years and 3 Months,Yes,"2,25369E+15",166.53062988488216,High_spent_Medium_value_payments,"3,59557E+16",01/11/2023
CUS_0x1026,170614.28,1.44639E+16,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,30,Good,849.69,"3,17575E+15",20 Years and 8 Months,No,"2,08907E+16",184.27787149576235,High_spent_Medium_value_payments,"1,3032E+16",01/10/2023
CUS_0x102d,89064.52,7.25604E+15,5,3,1,1,Mortgage Loan,6,5,6.37,30,_,648.36,"3,05743E+15",30 Years and 3 Months,No,"3,75728E+15",296.09411909412466,High_spent_Medium_value_payments,"6,41937E+15",01/01/2024
CUS_0x102e,50807.44,4.19795E+15,8,4,11,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",12,9,2.6,40,_,869.59,"3,03115E+16",22 Years and 10 Months,NM,"8,87599E+15",65.27556452739218,High_spent_Medium_value_payments,"5,1576E+15",01/04/2024
CUS_0x1032,60410.94,5274245,4,7,17,4,"Student Loan, Home Equity Loan, Not Specified, and Payday Loan",24,9,10.65,90,Standard,1852.86,"3,18084E+15",16 Years and 3 Months,Yes,"1,49926E+15",481.4927768814807,!@9#%8,"1,76005E+16",01/08/2023
